============================= test session starts ==============================
platform linux -- Python 3.12.3, pytest-7.4.3, pluggy-1.6.0 -- /home/jhonslife/Didin Facil/backend/venv/bin/python3
cachedir: .pytest_cache
rootdir: /home/jhonslife/Didin Facil/backend
configfile: pytest.ini
plugins: asyncio-0.21.1, anyio-3.7.1, cov-4.1.0
asyncio: mode=Mode.AUTO
collecting ... collected 859 items

backend/tests/unit/test_accounts_routes.py::TestMultiAccountService::test_create_account PASSED [  0%]
backend/tests/unit/test_accounts_routes.py::TestMultiAccountService::test_create_duplicate_account PASSED [  0%]
backend/tests/unit/test_accounts_routes.py::TestMultiAccountService::test_get_account PASSED [  0%]
backend/tests/unit/test_accounts_routes.py::TestMultiAccountService::test_get_account_not_found PASSED [  0%]
backend/tests/unit/test_accounts_routes.py::TestMultiAccountService::test_list_accounts PASSED [  0%]
backend/tests/unit/test_accounts_routes.py::TestMultiAccountService::test_list_accounts_by_platform PASSED [  0%]
backend/tests/unit/test_accounts_routes.py::TestMultiAccountService::test_update_account PASSED [  0%]
backend/tests/unit/test_accounts_routes.py::TestMultiAccountService::test_delete_account PASSED [  0%]
backend/tests/unit/test_accounts_routes.py::TestMultiAccountService::test_switch_account PASSED [  1%]
backend/tests/unit/test_accounts_routes.py::TestMultiAccountService::test_get_active_account PASSED [  1%]
backend/tests/unit/test_accounts_routes.py::TestMultiAccountService::test_get_active_fallback_to_primary PASSED [  1%]
backend/tests/unit/test_accounts_routes.py::TestMultiAccountService::test_update_metrics PASSED [  1%]
backend/tests/unit/test_accounts_routes.py::TestMultiAccountService::test_get_summary PASSED [  1%]
backend/tests/unit/test_accounts_routes.py::TestAccountRoutes::test_list_accounts_endpoint PASSED [  1%]
backend/tests/unit/test_accounts_routes.py::TestAccountRoutes::test_get_summary_endpoint PASSED [  1%]
backend/tests/unit/test_accounts_routes.py::TestAccountValidation::test_account_create_validation PASSED [  1%]
backend/tests/unit/test_accounts_routes.py::TestAccountValidation::test_account_username_too_long PASSED [  1%]
backend/tests/unit/test_accounts_routes.py::TestAccountValidation::test_account_status_enum PASSED [  2%]
backend/tests/unit/test_analytics_routes.py::TestAnalyticsOverview::test_get_overview_empty_data PASSED [  2%]
backend/tests/unit/test_analytics_routes.py::TestAnalyticsOverview::test_get_overview_with_data PASSED [  2%]
backend/tests/unit/test_analytics_routes.py::TestPlatformAnalytics::test_get_platform_instagram PASSED [  2%]
backend/tests/unit/test_analytics_routes.py::TestPlatformAnalytics::test_get_platform_all_raises_error PASSED [  2%]
backend/tests/unit/test_analytics_routes.py::TestDailyStats::test_get_daily_empty PASSED [  2%]
backend/tests/unit/test_analytics_routes.py::TestDailyStats::test_get_daily_with_data PASSED [  2%]
backend/tests/unit/test_analytics_routes.py::TestRecordMetrics::test_record_metrics_success PASSED [  2%]
backend/tests/unit/test_analytics_routes.py::TestGrowthStats::test_get_growth_no_data PASSED [  3%]
backend/tests/unit/test_analytics_routes.py::TestGrowthStats::test_get_growth_with_data PASSED [  3%]
backend/tests/unit/test_analytics_routes.py::TestTopPosts::test_get_top_posts PASSED [  3%]
backend/tests/unit/test_analytics_routes.py::TestAnalyticsService::test_record_post PASSED [  3%]
backend/tests/unit/test_analytics_routes.py::TestAnalyticsService::test_get_platform_metrics PASSED [  3%]
backend/tests/unit/test_api_docs_routes.py::TestAPIDocsRoutes::test_get_api_categories PASSED [  3%]
backend/tests/unit/test_api_docs_routes.py::TestAPIDocsRoutes::test_get_category_endpoints_valid PASSED [  3%]
backend/tests/unit/test_api_docs_routes.py::TestAPIDocsRoutes::test_get_category_endpoints_by_path PASSED [  3%]
backend/tests/unit/test_api_docs_routes.py::TestAPIDocsRoutes::test_get_category_endpoints_not_found PASSED [  3%]
backend/tests/unit/test_api_docs_routes.py::TestAPIDocsRoutes::test_search_endpoints PASSED [  4%]
backend/tests/unit/test_api_docs_routes.py::TestAPIDocsRoutes::test_search_endpoints_no_results PASSED [  4%]
backend/tests/unit/test_api_docs_routes.py::TestAPIDocsRoutes::test_get_api_overview PASSED [  4%]
backend/tests/unit/test_api_docs_routes.py::TestAPIDocsRoutes::test_get_interactive_docs PASSED [  4%]
backend/tests/unit/test_api_docs_routes.py::TestAPIDocumentation::test_all_categories_have_required_fields PASSED [  4%]
backend/tests/unit/test_api_docs_routes.py::TestAPIDocumentation::test_endpoints_have_valid_methods PASSED [  4%]
backend/tests/unit/test_api_docs_routes.py::TestAPIDocumentation::test_examples_have_required_fields PASSED [  4%]
backend/tests/unit/test_api_docs_routes.py::TestAPIDocumentation::test_total_endpoints_count PASSED [  4%]
backend/tests/unit/test_api_docs_routes.py::TestAPIDocumentation::test_authentication_category_exists PASSED [  5%]
backend/tests/unit/test_api_docs_routes.py::TestAPIDocumentation::test_social_media_categories_exist PASSED [  5%]
backend/tests/unit/test_api_docs_routes.py::TestEndpointModels::test_endpoint_example_model PASSED [  5%]
backend/tests/unit/test_api_docs_routes.py::TestEndpointModels::test_endpoint_example_optional_fields PASSED [  5%]
backend/tests/unit/test_api_docs_routes.py::TestEndpointModels::test_endpoint_doc_model PASSED [  5%]
backend/tests/unit/test_api_docs_routes.py::TestEndpointModels::test_api_category_model PASSED [  5%]
backend/tests/unit/test_api_redis_service.py::test_redis_pool_singleton PASSED [  5%]
backend/tests/unit/test_api_redis_service.py::test_redis_pool_close PASSED [  5%]
backend/tests/unit/test_api_redis_service.py::test_redis_pool_close_not_initialized PASSED [  5%]
backend/tests/unit/test_api_redis_service.py::test_get_redis_pool_wrapper PASSED [  6%]
backend/tests/unit/test_api_redis_service.py::test_close_redis_pool_wrapper PASSED [  6%]
backend/tests/unit/test_auth_middleware.py::TestCreateAccessToken::test_create_access_token_basic PASSED [  6%]
backend/tests/unit/test_auth_middleware.py::TestCreateAccessToken::test_create_access_token_payload_structure PASSED [  6%]
backend/tests/unit/test_auth_middleware.py::TestGetUserById::test_get_user_by_id_found PASSED [  6%]
backend/tests/unit/test_auth_middleware.py::TestGetUserById::test_get_user_by_id_not_found PASSED [  6%]
backend/tests/unit/test_auth_middleware.py::TestGetCurrentUser::test_get_current_user_valid_token PASSED [  6%]
backend/tests/unit/test_auth_middleware.py::TestGetCurrentUser::test_get_current_user_invalid_token PASSED [  6%]
backend/tests/unit/test_auth_middleware.py::TestGetCurrentUser::test_get_current_user_no_sub_in_payload PASSED [  6%]
backend/tests/unit/test_auth_middleware.py::TestGetCurrentUser::test_get_current_user_expired_token PASSED [  7%]
backend/tests/unit/test_auth_middleware.py::TestGetCurrentUser::test_get_current_user_user_not_found PASSED [  7%]
backend/tests/unit/test_auth_middleware.py::TestJWTConstants::test_jwt_secret_key_exists PASSED [  7%]
backend/tests/unit/test_auth_middleware.py::TestJWTConstants::test_jwt_algorithm_is_hs256 PASSED [  7%]
backend/tests/unit/test_auth_middleware.py::TestJWTConstants::test_security_is_http_bearer PASSED [  7%]
